videoId,commentId,author,text,likes,publishedAt
sVYXzMsLEXA,Ugxc3dMyQQ40hUPdZOd4AaABAg,@Hàn-Quốc-TV,hay lắm,0,1650643734.376135
sVYXzMsLEXA,Ugw6v_g8EYfwQMD4FZ54AaABAg,@Minhfishing1989,nếu đã biết nghe cải lương rồi thì sẻ mê thôi,0,1650643734.37725
sVYXzMsLEXA,UgyIYADDc68xnKOMEe14AaABAg,@chuongnguyeninh220,Xưa mình có xem và cũng rất thích,0,1650643734.37839
sVYXzMsLEXA,UgxF3qs0chloRztD3Ud4AaABAg,@vinhanvlog1452,"quá hay luôn, nay nghe lại cải lương mê luôn, rất ý nghĩa",0,1650643734.379504
sVYXzMsLEXA,UgxnDu375WkyCA1Lk694AaABAg,@minhquang4379,"Hay nhỉ , hoài niệm thậtt",0,1650643734.380687
sVYXzMsLEXA,UgzAsdiD7q3aZkOqrxx4AaABAg,@plumd2-848,Cải lương hay quá bạn ơi,0,1650643734.381713
sVYXzMsLEXA,UgzwlqO21CZSugcpjSh4AaABAg,@khamphavietnew3593,cảm ơn kênh đã gin giữ bộ môn nghệ thuật cải lương,0,1650643734.382884
sVYXzMsLEXA,UgzsdonoZL-tcgTDSEN4AaABAg,@luxubucn9131,Chúc Đoàn mình ngày càng phát triển nhé,0,1650643738.33351
sVYXzMsLEXA,Ugxq3fdI5E-1S5jlhWR4AaABAg,@khachuylenguyen4245,Quan cong ko hon,0,1682179738.334598
sVYXzMsLEXA,Ugx_U1L5yg-OC3WSuR14AaABAg,@NamNguyen-ro6vh,"tiết mục hay quá bạn ơi,luôn ủng hộ",0,1650643738.335667
sVYXzMsLEXA,UgxPLuB6mzMVRlaNhNd4AaABAg,@huynhthaongo2463,Lâu rồi mới xem lại văn hoá nghệ thuật truyền thống của nước nhà,0,1650643738.336858
sVYXzMsLEXA,UgwGPW2LRNrwvu--TKx4AaABAg,@duylamtv1306,Cô chú diễn hay ghê,0,1650643738.337921
sVYXzMsLEXA,UgypoaaGBPxh8l9DUtx4AaABAg,@tantannho926,Đoàn diễn hay quá. Lưu giữ nét đẹp truyền thống,0,1650643738.339142
sVYXzMsLEXA,UgyDHLAQazvC93SAqEd4AaABAg,@phudinh1575,Cải lương hay.lâu lắm mình mới nghe lại,0,1650643738.340633
sVYXzMsLEXA,Ugwsz9zkdHf-6Y38fNh4AaABAg,@saigonsaoay6358,Nhìn lại nhớ nghệ sĩ Thanh Tòng ghê.môn nghệ thuật này cần lưu truyền lại cho con cháu mai sau,2,1650643738.341755
sVYXzMsLEXA,UgwT2pcp5gItGOwmcnp4AaABAg,@louisshrimp712,Hay quá. Chúc đoàn minh nhiều sức khoẻ và ngày càng  phát triển.,0,1650643738.342853
sVYXzMsLEXA,UgznQhVjvktHsHaSQ0F4AaABAg,@parkjimin-hk2uf,mê cải lương quá trời,0,1650643738.343924
